1011;01.12.2022;2800;1800;R;15;1;50;50;5,6;9
1011;04.12.2022;2800;1800;R;15;1;33;33;5,6;6
1021;04.12.2022;2800;1800;R;15;2;35;35;5,6;6
1031;29.11.2022;2800;1800;T;15;1;40;40;5,6;7
1032;30.11.2022;2800;1800;T;15;1;40;40;5,6;7
1033;01.12.2022;2800;1800;T;15;1;40;40;5,6;7
1034;02.12.2022;2800;1800;T;15;1;40;40;5,6;7
1035;03.12.2022;2800;1800;T;15;1;40;40;5,6;7
1036;04.12.2022;2800;1800;T;15;1;25;25;5,6;4
1041;30.11.2022;520;1800;T;15;1;21,3;21,3;1,04;20
1071;27.11.2022;2560;1800;T;15;3;26;26;5,12;5
1091;27.11.2022;980;1800;T;15;3;19,2;19,2;1,96;10
1092;04.12.2022;980;1800;T;15;3;5;5;1,96;3
1101;26.10.2022;2800;1800;T;16;1;103;103;5,6;18
1102;27.10.2022;2800;1800;T;16;1;4;4;5,6;1
1103;28.10.2022;2800;1800;T;16;1;6;6;5,6;1
1104;30.11.2022;2800;1800;T;16;1;56;56;5,6;10
1105;04.12.2022;2800;1800;T;16;1;9;9;5,6;2
1111;29.11.2022;2800;1800;T;16;1;24;24;5,6;4
1112;30.11.2022;2800;1800;T;16;1;30;30;5,6;5
1113;01.12.2022;2800;1800;T;16;1;30;30;5,6;5
1114;02.12.2022;2800;1800;T;16;1;30;30;5,6;5
1115;03.12.2022;2800;1800;T;16;1;30;30;5,6;5
1116;04.12.2022;2800;1800;T;16;1;30;30;5,6;5
1121;27.11.2022;2700;1800;T;16;1;69;69;5,4;13
1131;26.11.2022;2700;1800;T;16;1;85;85;5,4;16
1151;27.11.2022;2560;1800;T;16;2;60;60;5,12;12
1161;27.11.2022;410;1800;T;16;2;10;10;0,82;12
1162;30.11.2022;410;1800;T;16;2;7;7;0,82;9
1163;01.12.2022;410;1800;T;16;2;7;7;0,82;9
1164;02.12.2022;410;1800;T;16;2;7;7;0,82;9
1165;03.12.2022;410;1800;T;16;2;7;7;0,82;9
1171;02.12.2022;2800;1800;T;17;1;4;4;5,6;1
1172;03.12.2022;2800;1800;T;17;1;4;4;5,6;1
1173;04.12.2022;2800;1800;T;17;1;4;4;5,6;1
